ID;time;location;sensorType;sensorId;value
148;1527757317057                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;93.0
149;1527757353214                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;94.0
150;1527757370456                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;94.0
151;1527757382054                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;95.0
152;1527757410275                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;96.0
153;1527757424808                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;96.0
154;1527757441265                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;97.0
155;1527757471457                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;98.0
156;1527757480809                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;98.0
157;1527757507581                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;99.0
158;1527757538468                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;100.0
159;1527757539467                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;100.0
160;1527757569871                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;101.0
161;1527757596810                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;101.0
162;1527757604810                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;102.0
163;1527757641518                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;103.0
164;1527757655326                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;103.0
165;1527757672379                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;104.0
166;1527757704427                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;105.0
167;1527757713974                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;105.0
168;1527757735286                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;106.0
169;1527757808321                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;107.0
170;1527757809415                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;107.0
171;1527757842901                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;108.0
172;1527757872534                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;108.0
173;1527757877798                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;109.0
174;1527757911386                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;110.0
175;1527757936780                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;110.0
176;1527757944832                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;111.0
177;1527757978490                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;112.0
178;1527758001019                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;112.0
179;1527758015447                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;113.0
180;1527758051488                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;114.0
181;1527758064214                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;114.0
182;1527758086125                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;115.0
183;1527758119642                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;116.0
184;1527758120734                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;116.0
185;1527758129662                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;116.0
186;1527758152965                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;117.0
187;1527758186574                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;118.0
188;1527758187659                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;118.0
189;1527758224288                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;119.0
190;1527758250790                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;119.0
